Year,Region,Indicator,Characteristic,Age,Cases,Rate,RSE,LowerConfidenceInterval,UpperConfidenceInterval,Denominator
2001,ACT,Liveborn babies weighing less than 2500g,All,0,215,5.6,6.6,4.8,6.3,"3,856"
2002,ACT,Liveborn babies weighing less than 2500g,All,0,217,5.4,6.6,4.7,6.1,"4,022"
2003,ACT,Liveborn babies weighing less than 2500g,All,0,191,4.7,7.1,4,5.3,"4,072"
2004,ACT,Liveborn babies weighing less than 2500g,All,0,261,6.4,6,5.6,7.1,"4,085"
2005,ACT,Liveborn babies weighing less than 2500g,All,0,257,6.1,6,5.3,6.8,"4,246"
2006,ACT,Liveborn babies weighing less than 2500g,All,0,267,5.9,5.9,5.2,6.6,"4,543"
2007,ACT,Liveborn babies weighing less than 2500g,All,0,260,5.7,6,5,6.3,"4,589"
2008,ACT,Liveborn babies weighing less than 2500g,All,0,235,4.9,6.4,4.3,5.6,"4,753"
2009,ACT,Liveborn babies weighing less than 2500g,All,0,240,4.9,6.3,4.3,5.6,"4,861"
2010,ACT,Liveborn babies weighing less than 2500g,All,0,266,5.4,6,4.8,6,"4,933"
2011,ACT,Liveborn babies weighing less than 2500g,All,0,306,6.4,5.5,5.7,7,"4,809"
2012,ACT,Liveborn babies weighing less than 2500g,All,0,309,5.9,5.5,5.3,6.6,"5,216"
2013,ACT,Liveborn babies weighing less than 2500g,All,0,320,6,5.4,5.4,6.6,"5,329"
2014,ACT,Liveborn babies weighing less than 2500g,All,0,353,6.4,5.1,5.8,7.1,"5,485"
2015,ACT,Liveborn babies weighing less than 2500g,All,0,349,6.3,5.2,5.7,7,"5,500"
2016,ACT,Liveborn babies weighing less than 2500g,All,0,340,6,5.3,5.4,6.6,"5,649"
2017,ACT,Liveborn babies weighing less than 2500g,All,0,359,6.7,5.1,6,7.4,"5,340"
2018,ACT,Liveborn babies weighing less than 2500g,All,0,316,6.2,5.4,5.5,6.8,"5,111"
2019,ACT,Liveborn babies weighing less than 2500g,All,0,319,5.9,5.4,5.3,6.6,"5,367"
2020,ACT,Liveborn babies weighing less than 2500g,All,0,310,6,5.5,5.4,6.6,"5,171"
2001,ACT,Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status,Aboriginal and Torres Strait Islander mother,0,5,12.5,41.8,2.2,22.8,40
2001,ACT,Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status,Non-Aboriginal or Torres Strait Islander mother,0,210,5.5,6.7,4.8,6.2,"3,807"
